fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,1.0,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.9090909090909091,0.0034885097137888807,2.739065780174444,0.0,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,1.0,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,275,695,750,0.9636363636363636,-0.014046561255970846,-1.1436232887114433,-0.02692484720383094,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,1.0,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.8909090909090909,-0.008161462738186492,-2.7551101175609145,-0.008161462738186492,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.9272727272727272,0.01851711101472938,4.916693721550363,-0.0023845767662794798,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
