symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
XTZ/USD,1d,crypto,9,521,312,104,105,13,290,9,0,0,0,0.0,0.0,0.0,0.0,0.048,TOO_FEW_TRADES,17.1
UNI/USD,1d,crypto,9,521,312,104,105,10,284,18,5,0,1,0.0,-0.0195,-2.022,-0.02,0.2038,TOO_FEW_TRADES,17.9
AAVE/USD,1d,crypto,9,521,312,104,105,10,283,19,0,0,0,0.0,0.0,0.0,0.0,0.102,TOO_FEW_TRADES,18.7
COMP/USD,1d,crypto,9,521,312,104,105,10,286,16,0,0,0,0.0,0.0,0.0,0.0,0.0743,TOO_FEW_TRADES,18.1
SNX/USD,1d,crypto,9,521,312,104,105,16,280,16,3,0,1,0.0,0.0,0.0,0.0,0.1407,TOO_FEW_TRADES,18.5
CRV/USD,1d,crypto,9,521,312,104,105,16,269,27,7,0,3,0.0,-0.0702,-4.123,-0.0737,0.2611,TOO_FEW_TRADES,19.6
GRT/USD,1d,crypto,9,521,312,104,105,14,283,15,2,0,1,0.0,-0.0235,-2.104,-0.0235,0.1162,TOO_FEW_TRADES,18.3
INJ/USD,1d,crypto,9,521,312,104,105,17,277,18,4,0,1,0.0,-0.0238,-3.032,-0.0238,0.1571,TOO_FEW_TRADES,17.9
ARB/USD,1d,crypto,9,521,312,104,105,16,279,17,7,0,2,0.0,-0.0449,-2.471,-0.0462,0.2104,TOO_FEW_TRADES,17.7
OP/USD,1d,crypto,9,521,312,104,105,16,279,17,0,0,0,0.0,0.0,0.0,0.0,0.0719,TOO_FEW_TRADES,18.7
RUNE/USD,1d,crypto,9,521,312,104,105,20,272,20,0,0,0,0.0,0.0,0.0,0.0,0.0775,TOO_FEW_TRADES,17.5
FIL/USD,1d,crypto,9,521,312,104,105,15,284,13,2,0,1,0.0,-0.0263,-1.114,-0.0477,0.0793,TOO_FEW_TRADES,17.6
XMR/USD,1d,crypto,9,521,312,104,105,2,305,5,0,0,0,0.0,0.0,0.0,0.0,0.0224,TOO_FEW_TRADES,17.9
ZEC/USD,1d,crypto,9,521,312,104,105,12,283,17,0,3,1,1.0,0.072,3.705,-0.0053,0.1508,TOO_FEW_TRADES,17.2
DASH/USD,1d,crypto,9,521,312,104,105,12,284,16,0,0,0,0.0,0.0,0.0,0.0,0.1258,TOO_FEW_TRADES,17.7
EUR/USD,1d,forex,9,521,312,104,105,0,312,0,0,0,0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,41.6
GBP/USD,1d,forex,9,521,312,104,105,0,312,0,0,0,0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,42.8
AUD/USD,1d,forex,9,521,312,104,105,0,312,0,0,0,0,0.0,0.0,0.0,0.0,0.024,TOO_FEW_TRADES,41.6
